Title,Timestamp,Original video Transcript,Summary & Key Points,Suggestions,Visuals,,,,,,,,,,,,,,,,,,,
self attention,16:29 - 18:29,"Both the encoder and the decoder apply
can apply the uh self attention
mechanism and they apply several times
um which is called a multi head
attention. So after tokenizing creating
ids integer ids transforming these ids
to vectors and then
putting a mechanism to keep this the
position of the words of the tokens
although this is processed in parallel
you can you will keep that information
the encoder and decoder will apply self
attention the multi had attention
and each of these these
uh
instances of attention
will extract
a attention map a different attention
map.
These attention maps from this several
multi head attention mechanisms are
randomly initialized
and it is doing training that
the machine learning model via an
optimization process to fit the training
data
will kind of come up with the best
attention uh map.
uh and how best to connect the words.
By learning good attention maps, the
model will be good at predicting the
next token. Multiple heads allow different attention
maps to be learned simultaneously. One
head may learn grammatical rules,
example, subject, verb pairs, while
another might learn patterns related to
rhyme, tone, or other latent features.
These are learned without explicit
labels. This is what defines
self-supervised learning.",how the encoder and the decoder apply to self attenion mechanism,,,,,,,,,,,,,,,,,,,,,
transformers,18:30 - 19:24,"Different large language models use
different parts of the transformer
architecture. Decoderon models use only
the decoder portion. Examples, GPT,
llama. These are used in most chat bots.
strong in text generation, translation,
sentiment analysis, and question
answering.
Encoder only models use only the
encoder. Example, BERT strong in
classification, sentiment analysis, and
sentence embedding. Less used in
generation tasks.
Encoder decoder models use the full
architecture examples T5, BART. Ideal
for sequenceto-sequence tasks like
translation, summarization, and text
rewriting. Knowing which architecture is
used is helpful, especially when you
plan to fine-tune a model or build a
custom application. The architecture
influences training time, task
suitability, and scalability.",Different large language models use different parts of the transformer architecture.,,,,,,,,,,,,,,,,,,,,,
No Ttitle,19:25 - 21:37,"The generative AI stack and life cycle.
When you want to solve a problem using
large language models, the first step is
to define your use case. For example,
suppose you're an insurance company and
you want to summarize policies or
documents.
The first question is which model should
I use? Should you choose an existing
foundation model or train your own?
After making this decision, the next
step is to adapt and align the model to
your specific task.
This begins with prompt engineering
where you craft prompts to make the
model perform better for your needs.
You can also optimize the model through
fine-tuning and human feedback.
At this stage, you're still in
development. You prompt the model,
evaluate its responses, adjust your
methods, and repeat.
This is an iterative cycle. Try
prompting, evaluate, fine-tune if
needed. Apply human feedback, evaluate
again, repeat until performance is
acceptable.
If prompt engineering alone isn't
sufficient, you move on to fine-tuning.
You may also apply guard rails to
improve alignment using human feedback.
We'll cover all of these adaptation
techniques in detail. Once the model
behaves the way you want, you move to
deployment.
This is when you connect the model to an
application.
Applications of LLMs.
A chatbot is a basic application built
on top of a large language model like
GPT.
Since LLMs receive text prompts,
chatbots are a natural interface for
interacting with them. But many other
applications are possible.
speechto text systems that convert audio
input into prompts. Imageto text
pipelines, co-pilot tools that observe
user activity and suggest actions.
These are all examples of LLM powered
applications.","the process of solving a problem using LLMs for a firm: first, deicide which model to use. Second, adapt and align the model the specific task. Third, conect the model to application",,,,,,,,,,,,,,,,,,,,,
generaive AI stack,21:38 - 26:11,"The generative AI stack.
The generative AI stack consists of
several layers, each building on the one
below. One infrastructure layer. At the
base, we have specialized hardware
needed to run large models, particularly
GPUs.
Companies like Nvidia provide the GPUs
used in LLM training and inference.
Above this hardware sits the cloud
providers who organize and maintain the
clusters of machines needed to support
training. These include AWS, Amazon Web
Services, Google Cloud, Microsoft,
Azure.
Most foundation models are trained on
these cloud platforms using their
hardware and compute infrastructure.
Two, model layer. This layer consists of
the foundation models themselves such as
GPT, BERT, Bard, Llama, Claude.
You can interact with these models
through vendor interfaces like Chat GPT,
Gemini or Meta's tools. But you can also
build on top of these models. Fine-tune
them for your specific domain. Pre-train
your own models from scratch using
transformer architectures.
You may choose to create domain specific
model.
Application layer. Once you have a
fine-tuner customtrain model, you
connect it to realworld systems through
APIs. Application programming interfaces
are the connectors that allow software
components such as the model and an app
interface to communicate with one
another. For example, an insurance
platform might use an API to connect
customer support software with a
foundation model that has been
fine-tuned to answer insurance related
questions. Open-source versus
proprietary models. An important
consideration when working with language
models is whether the model is open
source or proprietary.
For example, T5, Flant T5, Palm, Llama,
and Bloom are open- source. GPT, Bird,
and others from large tech companies are
proprietary. Open source models are
maintained by the community. Their code
is transparent and modifiable, which
allows for easier customization.
Proprietary models like GPT from OpenAI
often have higher performance and are
more polished, but they are closed
source and come with limitations.
Trade-offs of proprietary models.
Using proprietary models comes with high
performance and scalability. Access to
professional support. Built-in APIs and
user tools, but also usage costs. For
example, you pay per token used. Data
privacy concerns. Your data may be
processed externally. Vendor lockin.
You're tied to their infrastructure and
services. For example, if you use GPT in
a recommener system for insurance
company, you must consider the cost of
token usage, whether customer data is
sent externally via API, your dependency
on OpenAI's platform. At the same time,
large vendors benefit from user
feedback, which improves their models
continuously. For instance, chat GPT
allows users to vote on completions,
helping OpenAI refine its models.
Tradeoffs of opensource models.
Open source models like Llama and Bloom
are appealing because you can host them
locally ensuring data privacy. You
retain full control. They allow custom
training on your own data sets. However,
they come with challenges. No
professional support. Smaller model
sizes compared to proprietary models.
Greater technical burden. For example,
you need in-house data scientists or
machine learning engineers. fewer
user-friendly interfaces and tooling. In
short, open-source models are more
flexible and transparent, but require
more technical investment. Proprietary
models are more convenient, but come
with privacy and cost concerns.
Strategic considerations.
When selecting a foundation model,
consider, do you need general purpose or
domain specific output? Can your
organization host and maintain its own
model? Is data privacy a critical
concern? What level of cost are you
prepared to absorb? Do you prefer full
control or vendor support? These
decisions shape the structure of your
generative AI deployment and determine
how your model integrates into your
technology stack.",how the generative AI stack works,"When talking about open-source models versus proprietary, have some visuals with the trade-offs (23:30)   Same for “strategic considerations” (25:45) Agree

23:30 It's good to have a slide on ""considerations of selecting a model"" like proprietary vs open source models, or general vs specific output, etc. Agree",,,,,,,,,,,,,,,,,,,,
prompt engineering,26:12 - 29:57,"Prompt engineering,
oneshot inference, fshot inference, and
prompt patterns.
We're going to talk about prompt
engineering and fine-tuning. Starting
with prompt engineering, the text you
feed into a language model is called the
prompt. The total amount of text or
memory the model can access at once is
called the context window. Large models
often produce good results even with
minimal input. But there are many
situations where the output is not what
you expect on the first try. To improve
this, you need to revise and structure
your prompt carefully. That process is
called prompt engineering.
One of the most effective prompt
engineering techniques is to include
examples of the task you want the model
to perform. This technique is called in
context learning. You provide examples
directly within the prompt or the
context window. For instance, suppose
you want the model to classify the
sentiment of the sentence, I love this
movie. If you simply give that sentence
to a large language model, it may
correctly respond with something like
sentiment equals positive.
But if you try this with a smaller
model, it might fail. It could complete
the input with something unrelated like
a very nice book review.
This happens because the model is
generating what it thinks is the next
likely phrase, not actually following
your instruction. This approach where
you give an instruction and input
without any example is called zeroshot
inference.
In zeroshot inference, the model tries
to figure out what to do from the
instruction alone, but it may not
understand the task clearly like
identifying sentiment. To help the model
understand the task better, you can
provide an example inside the prompt.
For example, classify this review. I
love this movie. Sentiment equals
positive. Classify this review. I hate
this movie. Sentiment equals sentiment.
Now, when the model sees the second
instruction, it understands how to
behave. This is called oneshot
inference. You give one example and then
ask the model to apply the same pattern
to a new case. In oneshot inference, the
model uses the provided example as a
reference and applies that logic to the
next prompt.
Fewshot inference. Sometimes one example
is not enough. You might need to provide
two, three or more examples. This is
called fshot inference. Example,
classify this review. I love this movie.
Sentiment equals positive. Classify this
review. I hated the ending. Sentiment
equals negative. Classify this review.
The story was boring. Sentiment equals
sentiment.
By giving multiple labeled examples, you
make the task clearer. Fshot inference
is especially useful for smaller models
that need more context to understand
what you expect. However, if you find
yourself needing more than five or six
examples, the model may not be learning
the important features from the
examples. In that case, it's a sign you
should consider fine-tuning, actually
training the model further on your data.
Fine-tuning as an alternative.
Fine-tuning is when you perform
additional training so the model becomes
more capable of completing your specific
task. You move to this step if prompt
engineering alone isn't delivering good
enough results. We'll cover fine-tuning
in detail later, but it's essentially a
deeper level of alignment than just
improving your prompt.","The text explains prompt engineering and fine-tuning in language models. Prompt engineering improves outputs by carefully designing inputs. Zeroshot inference uses only instructions, often leading to misunderstandings. Oneshot inference provides one example to guide the model, while fewshot inference uses several examples to make tasks clearer, especially for smaller models. If too many examples are needed, fine-tuning—further training the model on specific data—may be required for better performance.","The visuals are distracting (although the explanation was excellent) (27:00) - Edtech team for sure will make it better.

29:38 either remove fine-tuning here or say that we will explain fine-tuning in detail later in this module- I would not change. What I say about fine tuning is that if prompt engineering is not working, than you should use it. and say we will cover it later",,,,,,,,,,,,,,,,,,,,
prompt pattern,29:58 - 30:52,"Prompt patterns.
Another key strategy in prompt
engineering is using consistent
structure in your prompts, what we call
prompt patterns. Let's go back to the
sentiment analysis example. We followed
a pattern like instruction, review,
expected format, classify this, review.
I love this movie. Sentiment equals
positive.
By consistently using this structure,
the model can better identify and repeat
the desired behavior.
Prompt patterns help guide the model to
respond in specific ways. For example,
you might want the model to always
return a yes or no response without
elaboration.
A clear and structured pattern makes
that more likely.
Prompt patterns aren't limited to
classification. They also apply to more
complex tasks such as decisionmaking or
structured reasoning.",an introduction to prompt pattern,,,,,,,,,,,,,,,,,,,,,
No Ttitle,30:53 - 31:53,"You can also use the model itself to
generate more examples for your fshot
prompts. For instance, you can ask the
model to provide 10 examples of actions
and responses. Then review the examples
it generated. Pick the most relevant or
accurate ones. reuse those as context in
future prompts. This can save you a lot
of time while improving clarity and
consistency.
LLMs are trained on diverse data sets
like movie scripts, driving
instructions, and accident reports so
they can generalize beyond the few
examples you provide.
Example completion. Dim your headlights
to low beam to avoid blinding the
oncoming driver. This goes beyond your
examples and shows that the model
understands the task context and expands
on it meaningfully.
Clarifying ambiguity in fshot prompts.
Fshot inference can fail if the examples
are too ambiguous.","You can leverage LLMs to generate and refine examples for few-shot prompts, improving clarity and consistency, but ambiguous examples can cause failures.","31:52 it says ""for, instance"" but jump to another topic. It's good to bring an example here (or if the lacking situation that comes after that is the example, make it clear) - the example comes just after. It is just a cut in the video. Remove the dor instance

Abrupt interruption (31:53)
",,,,,,,,,,,,,,,,,,,,
No Ttitle,31:54 - 34:15,"
So, uh, if you're lacking, uh, language,
if you're lacking context, for example,
here, input brick, output hard, input
pillow, output soft, input car, output
fast, because the LLM doesn't know what
um, it um, you could be talking about
characteristics of the objects and not
if you want to classify things only on
hard and soft.
Uh so this is the kind of prompt that
you have to work better work on and you
can give a little bit more context
saying your output can only be soft or
hard. Um
and so on. Okay. Um
the the other thing is that
if you go back to that example of the
driving action, you can also have a prompt
pattern
um and few shot inferences uh inferences
but of of a of a reasoning. So I am
traveling 60 miles hour and I see the
brake lights on the car in front of me.
Uh, come on. So, I think I need to slow
down the car before I hit the car in
front of me. Action. Press foot on
brake. Think the car isn't going to stop
in time. Check if the shoulder is wide
enough to swerve into. Think the
shoulder is wide enough. And then the
action is swerve into shoulder. Right?
So
um you can do this to explicitly know
how the LLM is reasoning for the choice
of an action or for the choice of a
classification or for the choice of
whatever output you want to do. And here
you can see that I'm being more specific
in the prefixes that I am using. So
think action and here's input output.
input output are very generic. Okay, so
just um
we have to remember that
","Clear context and explicit prompt patterns (e.g., separating “think” from “action”) help few-shot inference avoid ambiguity and produce more structured, reliable outputs.","33:00 it says ""if you go back to that example of the action"" - but what example? it's not clear - Changed to driving action",,,,,,,,,,,,,,,,,,,,
prompt pattern,34:16-38:23,"persona pattern.
Another powerful prompt pattern is
useful in cases where you don't know the
exact structure of the response you
want. You're not asking a simple yes no
question and you're unsure what kind of
information the response should include.
However, even if you don't know the
output format, you may know who or what
you'd consult to get the kind of answer
you need. In that case, you can use
what's called a persona pattern.
The persona pattern tells the model to
adopt a specific point of view,
behavior, or character. It helps guide
the model's behavior without taking up
too much space in the context window.
Example, skeptical computer scientist.
Here's an example from a course at
Vanderbilt University. The prompt says,
""Act as a skeptic that is well-versed in
computer science. Whatever I tell you,
provide a skeptical and detailed
response.""
This instruction triggers the model to
behave like a skeptical computer
scientist. You're not writing out a
detailed explanation of what such a
person would say. Instead, you're
activating that behavior by describing
the persona. Suppose you now prompt the
model with, ""There's a concern that AI
is going to take over the world."" The
model responds in a skeptical tone,
raising counterpoints, caveats, or
limitations, just as a skeptical
computer scientist might. This approach
is compact and efficient. If you were to
write out a full role description and
philosophy for the persona, it could
consume too much of the context window.
Using a short persona tag keeps the
prompt lightweight while still shaping
the response. Example, skeptical
9-year-old.
You can also specify who the persona is
in more imaginative ways. For instance,
act as a skeptical 9-year-old. There's a
concern that AI is going to take over
the world. The model still responds with
skepticism, but now the language is
simpler and more age appropriate. I
don't know about that. I don't think
computers can really do everything. It
avoids technical jargon and uses
vocabulary closer to what a child would
say. This shows that the model has
adapted both the tone and the content to
match the persona.
Personas beyond humans. The persona
doesn't have to be a human being. It can
be an animal, an object, even a
fictional entity. Example, a lamb in a
nursery rhyme. Act as the lamb from the
nursery rhyme, Mary had a little lamb.
I'll tell you what Mary is doing, and
you'll tell me what the lamb is doing.
Now, the model responds from the lamb's
perspective. It might say, ""I'm
following Mary to school again. I'm
staying close behind her."" The persona
guides the style and content of the
response to match the lamb's perspective
in that imaginary world. Example, a
hammer on a construction site. Act like
a hammer I'm using on my construction
site. I'll describe what I'm doing and
you'll tell me how you feel. If the user
says,
""Right now, I'm hammering a nail."" The
model might respond as the hammer.
This is what I was built for. I'm
driving that nail deep into the wood.
This example demonstrates how even
inanimate objects can become effective
personas, allowing you to explore
narrative, description, or playful
interactions in a consistent and
controlled way. The persona pattern is
the second major type of prompt
structure we've looked at. While the
first pattern focuses on structuring
answers such as labelbased or format
specific outputs, the persona pattern
helps you organize the model's behavior
by framing its response style, tone, and
vocabulary around a specific role.",the function of persona pattern,,,,,,,,,,,,,,,,,,,,,
prompt pattern,38:24-40:01,"Audience persona.
Before we move on to other prompt
engineering strategies, there's one more
important pattern to mention. The
audience persona. You can ask the model
not just to act as a specific character,
but to adapt its explanation for a
specific audience. This is especially
useful when you're trying to simplify
complex topics or when your target
audience has a unique perspective or
knowledge level. For example, you can
say, ""Explain large language models as
if I were 5 years old."" The model will
adjust its language, tone, and examples
to match that audience using simpler
vocabulary, shorter sentences, and
relatable analogies. You can also get
creative. Assume I'm a bird. Explain
gravity from the perspective of a bird.
The model responds accordingly, shifting
into a playful or metaphorical tone,
using language a bird might use or
describing flying in relatable terms.
These audience persona prompts are
useful for
tailoring technical explanations for
different age groups or levels of
expertise,
creating accessible educational content,
adding creativity and engagement to
model responses,
testing how well the model adapts its
language to context. So whether you're
teaching a child, writing for a
skeptical stakeholder, or imagining the
view of a fictional creature, you can
use audience personas to reframe the
conversation and get responses aligned
to your intended reader or listener.",the function of audience persona pattern,,,,,,,,,,,,,,,,,,,,,
introduce new information,40:02-42:56,"Now we are going to talk about how LLMs are limited to their training data, which is gathered up to a certain date. 
Lets start,
Large language models are trained up to
a certain point in time. This is called
the training cutoff. For example, GPT
3.5 was trained only up to June 2021.
That means any events or data after that
date are not part of the model's
training. If you need the model to
reason about newer information, you must
provide it explicitly in the prompt.
But it's not only about training cutoff.
Sometimes a model simply needs more
information in order to reason properly
or generate a better response.
Example, estimating birds in a backyard.
Suppose you ask, ""How many birds are in
my backyard?"" The model may respond, ""I
don't have enough information to
estimate that."" But if you expand the
context like this, ""My house is covered
by a glass dome. No animals can go in or
out. All animals inside the dome live
forever. Historical observations show
that the number of birds each year has
been 120, 120, 120, and 120. It's
currently March. Based on this data,
estimate how many birds are outside my
house. Even though this setup is
unrealistic, animals don't live forever
and they're not actually trapped under a
dome, the additional context enables the
model to reason and attempt a meaningful
response.
This illustrates how supplying more
detailed input increases the model's
capabilities.
LLMs are generative. They use the
information in the prompt to predict the
next token. If the input is vague, the
output will likely be vague. If the
input is rich and specific, the output
can be much more sophisticated.

Dealing with context limitations.

There is however a limit to how much
information you can feed the model at
once. This is the context window. If
your input is too large to fit, you have
a few options. Partition the content.
Break the text into smaller excerpts and
feed them in sequence, continuing the
conversation as you go.
Summarize before prompting. If you don't
need every detail, create a manual
summary that highlights the important
parts. If you prefer, you can also ask
the model to do the summarization for
you. For example, please summarize this
article, but make sure to keep all the
numeric data and ratio comparisons.
After checking the summary, you can use
it as the foundation for your next
prompt. In this way, the prompt becomes
not just an input, it becomes a channel
for new information that the model never
saw during training.","If you need the model to reason about newer information, you must provide it explicitly in the prompt","Introduce the topic better (40:02) - Changed in the script to be better

41:02 it says 110 while in the slide all numbers are 120 - corrected

Are there negative implications related to the strategies one can utilize if the prompt is too large to fit the context window? (42:00) - just that you will have to partition the prompt.",,,,,,,,,,,,,,,,,,,,
the prompt is a conversation,42:57-45:15,"Treating the prompt as a conversation.
The prompt should be treated as a
conversation, not a oneoff command. You
can iteratively refine your queries over
a sequence of prompts. Start with a
basic question, then build on it. Ask
something broad. Clarify what you meant.
Add more details. Adjust the framing.
This is often the best way to reason
through a complex topic using an LLM.
The goal isn't to get the per the goal
isn't to get the perfect answer in a
single shot. The goal is to engage the
model and helping you think through the
problem. Root prompts and behavior
shaping.
All LLM are trained with built-in
behavioral rules or guard rails. These
rules are baked into the model during
its fine-tuning phase. For example,
models are trained to avoid
using offensive or inappropriate
language, sharing dangerous
instructions, being unhelpful or
misleading. However, you can influence
some of the model's behavior using a
root prompt, a kind of rule setting
statement at the beginning of your
conversation.
For instance, act as an AI assistant
that had its training stop in 2019. If I
ask a question involving information
after 2019, state that your training
ended in 2019 and that you can't answer
the question.
Even though the model was trained to say
it has no knowledge after 2021, this
prompt temporarily overrides the default
behavior by asking it to adopt a new
constraint.
This is a good example of shaping
behavior through prompting without
needing to fine-tune the model.
Another example. From now on, for all
the questions I ask, I want you to
prioritize time efficiency in your
responses.
This doesn't assign a persona. It
doesn't change the model's identity.
Instead, it triggers a new priority.
Shorter, more timeconscious responses.
You're not fundamentally changing the
model. Some behaviors, especially core
safety features, cannot be overridden.
But within reasonable limits, you can
use prompting to guide the model's
approach to your conversation.","the prompt should be treated as a conversation, not oneoff command. You can iteratively refine your queries over a sequence of prompts. ",Change slide to follow the introduction of a new topic (43:40),,,,,,,,,,,,,,,,,,,,
